SNP.ID,Gene,Coord,Trait,Beta,P.Value,Direction
4_667433,CNAG_05185,667433,IL-5,2.38744,1.301573e-02,Positive
4_667433,CNAG_05185,667433,IL-6,12.97526,1.319824e-02,Positive
4_667446,CNAG_05185,667446,Brain CFU,295083.5,5.487494e-02,Positive
4_667446,CNAG_05185,667446,IL-5,1.78953,5.143746e-02,Positive
4_667446,CNAG_05185,667446,IL-6,20.81348,2.220493e-03,Positive
4_995956,CNAG_05303,995956,L-DOPA-30,0.558829011789258,0.170504479896949,Positive
4_1076446,CNAG_05329,1076446,IL-4,-5.499414,1.251829e-01,Negative
4_1076465,CNAG_05329,1076465,IFN-Gamma,186.4327,2.125099e-02,Positive
4_1076465,CNAG_05329,1076465,IL-4,-6.272902,1.123813e-01,Negative
14_908850,CNAG_05661,908850,IL-13,0.3166498,3.593113e-01,Positive
14_909450,CNAG_05661,909450,IL-1b,-7.132155,1.332393e-02,Negative
14_909450,CNAG_05661,909450,Virulence dpi,20.64076,9.112368e-04,Positive
14_909638,CNAG_05661,909638,IL-4,-9.225786,1.254681e-02,Negative
14_909638,CNAG_05661,909638,IL-5,-1.923509,7.337565e-02,Negative
14_910834,CNAG_05662,910834,Brain CFU,252649.5,5.455477e-01,Positive
14_911308,CNAG_05662,911308,IFN-Gamma,61.6237,6.233814e-02,Positive
14_911314,CNAG_05662,911314,IFN-Gamma,190.2945,5.821312e-02,Positive
14_911321,CNAG_05662,911321,IFN-Gamma,207.8143,7.207335e-03,Positive
14_911321,CNAG_05662,911321,IL-18,3.528218,5.407535e-02,Positive
14_911262,CNAG_05664,911262,IL-18,3.658731,2.387832e-02,Positive
14_911385,CNAG_05664,911385,IL-18,2.256856,1.966666e-02,Positive
14_911414,CNAG_05664,911414,IFN-Gamma,224.202,6.324073e-03,Positive
14_911414,CNAG_05664,911414,IL-18,4.04255,4.046843e-02,Positive
7_752860,CNAG_05746,752860,Brain CFU,238527.5,1.684435e-02,Positive
7_752860,CNAG_05746,752860,IL-18,2.815411,5.013035e-02,Positive
7_752860,CNAG_05746,752860,TNF-Alpha,2.471133,9.448291e-02,Positive
7_1205599,CNAG_05913,1205599,IL-1b,-1.572735,2.726430e-01,Negative
7_1205599,CNAG_05913,1205599,IL-6,-15.71774,5.685170e-02,Negative
7_1205600,CNAG_05913,1205600,IL-1b,-1.023144,3.036318e-01,Negative
7_1205600,CNAG_05913,1205600,IL-6,-14.13223,6.696085e-02,Negative
7_1263610,CNAG_05937,1263610,IL-4,-5.876856,6.790448e-02,Negative
7_1263646,CNAG_05937,1263646,Virulence dpi,NA,NA,Missing
7_1263647,CNAG_05937,1263647,Virulence dpi,NA,NA,Missing
12_14197,CNAG_05987,14197,IL-2,0.9289181,1.973922e-06,Positive
12_14202,CNAG_05987,14202,IL-2,0.9289181,1.973922e-06,Positive
12_14301,CNAG_05987,14301,Lung CFU,-1926755.0,6.886916e-01,Negative
12_14318,CNAG_05987,14318,Virulence dpi,-14.73322,1.388976e-02,Negative
12_15014,CNAG_05987,15014,Lung CFU,1357044.0,7.819870e-01,Positive
12_15014,CNAG_05987,15014,37,1.14113171589,0.0287621405573139,Positive
12_19728,CNAG_05987,19728,GM-CSF,15.35162,2.453925e-02,Positive
12_19728,CNAG_05987,19728,IL-4,8.157803,9.426759e-02,Positive
12_19728,CNAG_05987,19728,IL-12p70,13.77646,2.101566e-02,Positive
12_19728,CNAG_05987,19728,IL-13,0.7420354,4.145444e-01,Positive
12_19741,CNAG_05987,19741,IL-4,6.312201,7.373522e-02,Positive
12_19741,CNAG_05987,19741,IL-13,0.4855062,3.227232e-01,Positive
12_502808,CNAG_06169,502808,GM-CSF,6.470406,3.951859e-02,Positive
12_502808,CNAG_06169,502808,IL-12p70,5.642591,4.254010e-02,Positive
12_502808,CNAG_06169,502808,TNF-Alpha,2.857687,4.266929e-03,Positive
12_502864,CNAG_06169,502864,TNF-Alpha,-2.948747,1.527672e-02,Negative
12_502865,CNAG_06169,502865,TNF-Alpha,-2.948747,1.527672e-02,Negative
12_502909,CNAG_06169,502909,GM-CSF,5.911225,2.390686e-02,Positive
12_502909,CNAG_06169,502909,IL-12p70,5.358075,2.433711e-02,Positive
12_502909,CNAG_06169,502909,TNF-Alpha,5.274903,4.130236e-05,Positive
12_503049,CNAG_06169,503049,GM-CSF,14.90589,1.767588e-03,Positive
12_503049,CNAG_06169,503049,IL-12p70,13.06352,2.528497e-03,Positive
12_503049,CNAG_06169,503049,37,1.19207875836552,0.0813907744593776,Positive
12_503112,CNAG_06169,503112,IL-4,7.597822,1.816356e-02,Positive
12_503112,CNAG_06169,503112,IL-13,2.210206,2.156379e-02,Positive
12_503171,CNAG_06169,503171,TNF-Alpha,2.474412,4.867803e-02,Positive
12_503293,CNAG_06169,503293,TNF-Alpha,-1.375248,6.165818e-02,Negative
12_503321,CNAG_06169,503321,TNF-Alpha,2.30228,2.273611e-02,Positive
12_503327,CNAG_06169,503327,TNF-Alpha,2.378574,1.489203e-02,Positive
12_503401,CNAG_06169,503401,L-DOPA-30,0.413684318210145,0.252112101283431,Positive
13_11108,CNAG_06256,11108,IFN-Gamma,234.5915,4.146331e-02,Positive
13_11108,CNAG_06256,11108,Brain CFU,352494.9,4.830527e-02,Positive
13_11108,CNAG_06256,11108,IL-6,27.83,7.163975e-03,Positive
13_11108,CNAG_06256,11108,SDS,0.530641374447391,0.242742296960715,Positive
13_52884,CNAG_06272,52884,Virulence dpi,15.13113,4.714380e-02,Positive
13_655915,CNAG_06490,655915,IL-5,1.035387,2.291756e-01,Positive
7_14006,CNAG_06525,14006,IL-2,0.4794455,2.744295e-04,Positive
7_165027,CNAG_06574,165027,IL-13,1.504969,1.414819e-01,Positive
7_165873,CNAG_06574,165873,Lung CFU,-4241253.0,3.741424e-01,Negative
7_165873,CNAG_06574,165873,37,-1.51265390978918,0.00238258794490977,Negative
7_167135,CNAG_06574,167135,IL-1b,-3.401686,2.150202e-01,Negative
7_167135,CNAG_06574,167135,IL-6,-19.69009,4.745951e-02,Negative
7_167192,CNAG_06574,167192,IL-1b,-4.189256,1.068043e-01,Negative
7_167192,CNAG_06574,167192,IL-6,-16.9654,5.679624e-02,Negative
7_167292,CNAG_06574,167292,IL-1b,-6.462239,1.033133e-02,Negative
7_167292,CNAG_06574,167292,IL-5,-1.686828,2.196613e-02,Negative
7_167292,CNAG_06574,167292,IL-6,-17.65308,6.019409e-03,Negative
7_167370,CNAG_06574,167370,IL-1b,3.357947,2.322602e-01,Positive
7_167370,CNAG_06574,167370,IL-5,2.083035,1.877274e-03,Positive
7_167370,CNAG_06574,167370,IL-6,19.73142,1.610390e-02,Positive
5_7093,CNAG_06876,7093,IL-1b,6.957881,1.230659e-02,Positive
5_7093,CNAG_06876,7093,IL-18,2.81247,2.067194e-02,Positive
5_7093,CNAG_06876,7093,Lung CFU,477109.9,9.200174e-01,Positive
5_7093,CNAG_06876,7093,Virulence dpi,-10.19637,8.527953e-02,Negative
6_739933,CNAG_07164,739933,IL-1b,-2.162143,1.953482e-01,Negative
3_10892,CNAG_07497,10892,Brain CFU,741328.7,5.373049e-04,Positive
3_10892,CNAG_07497,10892,GM-CSF,NA,NA,Missing
3_10892,CNAG_07497,10892,IL-12p70,NA,NA,Missing
3_10892,CNAG_07497,10892,TNF-Alpha,NA,NA,Missing
3_1071924,CNAG_07528,1071924,IFN-Gamma,331.5015,4.766481e-04,Positive
3_1071929,CNAG_07528,1071929,IFN-Gamma,331.5015,4.766481e-04,Positive
11_10896,CNAG_07586,10896,Brain CFU,419290.6,5.681298e-02,Positive
8_818838,CNAG_07727,818838,TNF-Alpha,1.750243,1.215626e-01,Positive
8_847517,CNAG_07728,847517,Brain CFU,437752.5,2.819384e-02,Positive
8_847517,CNAG_07728,847517,GM-CSF,14.1014,8.224836e-03,Positive
8_847517,CNAG_07728,847517,IL-12p70,12.92289,6.020237e-03,Positive
8_1326140,CNAG_07748,1326140,IL-1b,10.44345,7.521084e-04,Positive
8_1326140,CNAG_07748,1326140,IL-18,3.470228,3.764886e-03,Positive
8_1326140,CNAG_07748,1326140,TNF-Alpha,2.230928,3.117927e-02,Positive
10_15302,CNAG_07837,15302,Virulence dpi,12.31591,1.515260e-02,Positive
10_15302,CNAG_07837,15302,Virulence Category,-0.72942300736169,0.0513834915613809,Negative
10_15449,CNAG_07837,15449,IL-2,0.4347723,1.872001e-01,Positive
10_15455,CNAG_07837,15455,IL-2,0.4387293,1.816930e-01,Positive
10_15458,CNAG_07837,15458,IL-2,0.4387293,1.816930e-01,Positive
10_15461,CNAG_07837,15461,IL-2,0.4387293,1.816930e-01,Positive
10_15463,CNAG_07837,15463,IL-2,0.4387293,1.816930e-01,Positive
10_15473,CNAG_07837,15473,IL-2,0.4387293,1.816930e-01,Positive
14_155590,CNAG_07874,155590,IL-1b,-3.451837,1.642703e-01,Negative
14_155590,CNAG_07874,155590,Lung CFU,982314.9,8.659364e-01,Positive
14_155590,CNAG_07874,155590,Virulence dpi,22.41964,2.306271e-03,Positive
1_975397,CNAG_07950,975397,IFN-Gamma,194.3522,3.707975e-02,Positive
1_975397,CNAG_07950,975397,SDS,0.633349867620274,0.0657176819016858,Positive
1_975445,CNAG_07950,975445,GM-CSF,10.38323,3.649037e-02,Positive
1_975445,CNAG_07950,975445,IL-12p70,8.760091,4.498672e-02,Positive
11_804742,CNAG_08006,804742,IL-5,1.205884,1.358800e-01,Positive
11_804742,CNAG_08006,804742,Virulence dpi,-8.844382,1.214347e-02,Negative
1_971811,CNAG_12053,971811,Virulence dpi,17.82872,8.749580e-03,Positive
5_1770892,CNAG_12511,1770892,Virulence dpi,12.37078,9.544105e-02,Positive
